airport,category,number,percentage,year
EVV,nonhub,7543,0.0009237236681197894,2007
MOD,nonhub,2968,0.00036346438379683614,2007
CMI,nonhub,3420,0.0004188167764774864,2007
SCK,nonhub,254,3.110510562142735e-05,2007
BMI,nonhub,6345,0.0007770153353069155,2007
TWF,nonhub,2438,0.0002985600295474011,2007
LRD,nonhub,4062,0.0004974367678513303,2007
MTJ,nonhub,800,9.796883660292079e-05,2007
CLL,nonhub,4158,0.0005091930282436808,2007
ABI,nonhub,4395,0.0005382162960872961,2007
JAC,nonhub,2634,0.00032256239451511673,2007
FWA,nonhub,12401,0.001518639428391026,2007
AZO,nonhub,6007,0.0007356235018421816,2007
BPT,nonhub,1754,0.00021479667425190383,2007
PIH,nonhub,2132,0.0002610869495467839,2007
LAW,nonhub,2239,0.0002741902814424246,2007
TOL,nonhub,9690,0.001186647533352878,2007
BRO,nonhub,2375,0.0002908449836649211,2007
SJT,nonhub,2982,0.00036517883843738725,2007
GRK,nonhub,6475,0.0007929352712548902,2007
ITH,nonhub,3751,0.00045935138262194486,2007
ELM,nonhub,3929,0.00048114944876609476,2007
BGR,nonhub,6604,0.0008087327461571112,2007
YNG,nonhub,227,2.7798657386078774e-05,2007
BGM,nonhub,4346,0.0005322157048453672,2007
AVP,nonhub,6817,0.0008348169489026388,2007
CRW,nonhub,10722,0.001313027332570646,2007
CHA,nonhub,9110,0.0011156201268157605,2007
SCE,nonhub,5976,0.0007318272094238183,2007
CHO,nonhub,7959,0.0009746674631533083,2007
LAN,nonhub,5606,0.0006865166224949674,2007
FLO,nonhub,2224,0.0002723533657561198,2007
ISO,nonhub,161,1.971622836633781e-05,2007
ERI,nonhub,5229,0.000640348808245841,2007
PGV,nonhub,1756,0.00021504159634341114,2007
MBS,nonhub,3703,0.0004534732524257696,2007
MGM,nonhub,5193,0.0006359402105987096,2007
TVC,nonhub,5066,0.000620387657787996,2007
DRT,nonhub,1475,0.0001806300424866352,2007
AEX,nonhub,5461,0.0006687597708606881,2007
JLN,nonhub,1351,0.00016544487281318248,2007
LFT,nonhub,7507,0.000919315070472658,2007
KTN,nonhub,4004,0.0004903340271976185,2007
LCH,nonhub,2080,0.00025471897516759405,2007
COU,nonhub,1765,0.000216143745755194,2007
TYR,nonhub,3522,0.0004313078031443588,2007
FLG,nonhub,2297,0.00028129302209613634,2007
CSG,nonhub,1694,0.00020744901150668478,2007
GNV,nonhub,4586,0.0005616063558262434,2007
ILG,nonhub,462,5.6577003138186756e-05,2007
IPL,nonhub,2235,0.00027370043725941,2007
SBP,nonhub,6913,0.0008465732092949893,2007
TTN,nonhub,1084,0.0001327477735969577,2007
ATW,nonhub,9776,0.0011971791832876921,2007
MKG,nonhub,1984,0.00024296271477524357,2007
MQT,nonhub,3775,0.0004622904477200325,2007
FAY,nonhub,4895,0.0005994468189641216,2007
AGS,nonhub,4379,0.0005362569193552377,2007
VLD,nonhub,1038,0.00012711456549228974,2007
APN,nonhub,958,0.00011731768183199766,2007
PAH,nonhub,1089,0.00013336007882572593,2007
FMN,nonhub,2381,0.000291579749939443,2007
BQK,nonhub,966,0.00011829737019802687,2007
ABY,nonhub,1554,0.00019030446510117364,2007
DHN,nonhub,1806,0.0002211646486310937,2007
OAJ,nonhub,3920,0.0004800472993543119,2007
MEI,nonhub,660,8.082429019740965e-05,2007
GTR,nonhub,1022,0.00012515518876023133,2007
PFN,nonhub,4065,0.0004978041509885913,2007
LYH,nonhub,2295,0.00028104810000462903,2007
MCN,nonhub,1119,0.00013703391019833546,2007
EYW,nonhub,10793,0.0013217220668191552,2007
