id,airport,type,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
140,PHL,origin,39.87195278,-75.24114083,1830,,1,0
140,BOS,dest,42.3643475,-71.00517917,1830,,1,0
141,BNA,origin,36.12447667,-86.67818222,1155,,1,0
141,PIT,dest,40.49146583,-80.23287083,1255,,1,0
142,GSP,origin,34.89566722,-82.21885833,1626,,1,0
142,CLT,dest,35.21401111,-80.94312583,1626,,1,0
143,BOS,origin,42.3643475,-71.00517917,1714,,1,0
143,CLT,dest,35.21401111,-80.94312583,1714,,1,0
144,CLT,origin,35.21401111,-80.94312583,2050,,1,0
144,PBI,dest,26.68316194,-80.09559417,2050,,1,0
145,TPA,origin,27.97547222,-82.53325,1315,,1,0
145,CLT,dest,35.21401111,-80.94312583,1315,,1,0
146,PIT,origin,40.49146583,-80.23287083,919,,1,0
146,MKE,dest,42.94722222,-87.89658333,819,,1,0
147,CLT,origin,35.21401111,-80.94312583,1330,,1,0
147,ATL,dest,33.64044444,-84.42694444,1330,,1,0
148,CLT,origin,35.21401111,-80.94312583,1335,,1,0
148,MYR,dest,33.67975,-78.92833333,1335,,1,0
149,LGA,origin,40.77724306,-73.87260917,1025,,1,0
149,CLT,dest,35.21401111,-80.94312583,1025,,1,0
150,PIT,origin,40.49146583,-80.23287083,1625,,1,0
150,BOS,dest,42.3643475,-71.00517917,1625,,1,0
151,GSO,origin,36.09774694,-79.9372975,1819,,1,0
151,LGA,dest,40.77724306,-73.87260917,1819,,1,0
152,LGA,origin,40.77724306,-73.87260917,2044,,1,0
152,BUF,dest,42.94052472,-78.73216667,2044,,1,0
153,ALB,origin,42.74811944,-73.80297861,809,805,0,0
153,CLT,dest,35.21401111,-80.94312583,809,805,0,0
154,CLT,origin,35.21401111,-80.94312583,1055,,1,0
154,ATL,dest,33.64044444,-84.42694444,1055,,1,0
155,CLT,origin,35.21401111,-80.94312583,1515,,1,0
155,RIC,dest,37.50516667,-77.31966667,1515,,1,0
156,MSP,origin,44.88054694,-93.2169225,1014,,1,0
156,CLT,dest,35.21401111,-80.94312583,1114,,1,0
157,IAH,origin,29.98047222,-95.33972222,640,736,0,1
157,CLT,dest,35.21401111,-80.94312583,740,736,0,1
158,CLT,origin,35.21401111,-80.94312583,1600,,1,0
158,IAD,dest,38.94453194,-77.45580972,1600,,1,0
159,PHL,origin,39.87195278,-75.24114083,1735,,1,0
159,DCA,dest,38.85208333,-77.03772222,1735,,1,0
