id,airport,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
134,"CLT",35.21401111,-80.94312583,"0815","0812",0.00,0.00
135,"PIT",40.49146583,-80.23287083,"0745","0742",0.00,0.00
135,"RIC",37.50516667,-77.31966667,"0745","0742",0.00,0.00
136,"RIC",37.50516667,-77.31966667,"0750","0744",0.00,0.00
136,"PHL",39.87195278,-75.24114083,"0750","0744",0.00,0.00
137,"MSP",44.88054694,-93.2169225,"1220","",1.00,0.00
137,"PIT",40.49146583,-80.23287083,"1220","",1.00,0.00
138,"PIT",40.49146583,-80.23287083,"1620","",1.00,0.00
138,"RIC",37.50516667,-77.31966667,"1620","",1.00,0.00
139,"TPA",27.97547222,-82.53325,"1055","",1.00,0.00
139,"CLT",35.21401111,-80.94312583,"1055","",1.00,0.00
140,"DCA",38.85208333,-77.03772222,"1455","",1.00,0.00
140,"MHT",42.93451639,-71.43705583,"1455","",1.00,0.00
141,"TPA",27.97547222,-82.53325,"1200","",1.00,0.00
141,"DCA",38.85208333,-77.03772222,"1200","",1.00,0.00
142,"EWR",40.69249722,-74.16866056,"0700","0655",0.00,0.00
142,"PIT",40.49146583,-80.23287083,"0700","0655",0.00,0.00
143,"PIT",40.49146583,-80.23287083,"0945","",1.00,0.00
143,"MCI",39.29760528,-94.71390556,"0945","",1.00,0.00
144,"CLT",35.21401111,-80.94312583,"2230","",1.00,0.00
144,"BOS",42.3643475,-71.00517917,"2230","",1.00,0.00
145,"TPA",27.97547222,-82.53325,"1935","",1.00,0.00
145,"CLT",35.21401111,-80.94312583,"1935","",1.00,0.00
146,"PIT",40.49146583,-80.23287083,"1410","",1.00,0.00
146,"EWR",40.69249722,-74.16866056,"1410","",1.00,0.00
147,"TPA",27.97547222,-82.53325,"1100","",1.00,0.00
147,"PIT",40.49146583,-80.23287083,"1100","",1.00,0.00
148,"PHL",39.87195278,-75.24114083,"0940","",1.00,0.00
148,"SYR",43.11118694,-76.10631056,"0940","",1.00,0.00
149,"CLT",35.21401111,-80.94312583,"1350","",1.00,0.00
149,"CAE",33.93884,-81.11953944,"1350","",1.00,0.00
150,"DTW",42.21205889,-83.34883583,"1110","",1.00,0.00
150,"CLT",35.21401111,-80.94312583,"1110","",1.00,0.00
151,"PIT",40.49146583,-80.23287083,"2050","",1.00,0.00
151,"BOS",42.3643475,-71.00517917,"2050","",1.00,0.00
152,"TPA",27.97547222,-82.53325,"1720","",1.00,0.00
152,"PIT",40.49146583,-80.23287083,"1720","",1.00,0.00
153,"DTW",42.21205889,-83.34883583,"0645","0642",0.00,0.00
153,"PIT",40.49146583,-80.23287083,"0645","0642",0.00,0.00
154,"LGA",40.77724306,-73.87260917,"0910","",1.00,0.00
154,"PIT",40.49146583,-80.23287083,"0910","",1.00,0.00
155,"MCI",39.29760528,-94.71390556,"1414","",1.00,0.00
155,"PHL",39.87195278,-75.24114083,"1414","",1.00,0.00
156,"PHL",39.87195278,-75.24114083,"1830","",1.00,0.00
